^2026^|^01^|^325237^|^015^|^08^|^WA^|^4719^|^2^|435324000|^1^|^51^|0|36214000|31499000|28472000|42487300|35457300|35339666|39557666|33933666|38793850|38793850|74775702|0|8.32|7.24|6.54|9.76|8.15|8.12|9.09|7.8|8.91|8.91|17.18|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^015114^|^015^|^08^|^WA^|^4719^|^2^|561347000|^1^|^51^|0|39892000|37164999|36753000|40000000|40000000|45000000|45000000|45000000|45000000|45000000|142537001|0|7.11|6.62|6.55|7.13|7.13|8.02|8.02|8.02|8.02|8.02|25.39|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^015114^|^015^|^08^|^WA^|^4719^|^2^|10454000|^1^|^52^|0|0|2836068|250000|0|2836068|0|2836068|250000|223643|0|1222153|0|0|27.13|2.39|0|27.13|0|27.13|2.39|2.14|0|11.69|0|0|1|1|0|1|0|1|1|1|0|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^015114^|^015^|^08^|^CD^|^6212^|^2^|78740000|^1^|^52^|0|1000000|2000000|14000000|1499999|1999998|7999997|10999997|8999998|5499998|5249017|19490996|0|1.27|2.54|17.78|1.91|2.54|10.16|13.97|11.43|6.99|6.67|24.75|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^015114^|^015^|^08^|^CD^|^6213^|^2^|3987000|^1^|^52^|0|0|1250000|0|0|1380213|0|0|1356787|0|0|0|0|0|31.35|0|0|34.62|0|0|34.03|0|0|0|0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^015114^|^015^|^08^|^CD^|^6215^|^2^|763000|^1^|^52^|0|0|400000|0|0|0|0|0|363000|0|0|0|0|0|52.42|0|0|0|0|0|47.58|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^015114^|^015^|^08^|^WA^|^4715^|^2^|2192891000|^1^|^52^|455750|163726588|270053959|179374879|157999918|152941029|186523641|176487993|176477993|176147993|176147991|376553266|0.02|7.47|12.31|8.18|7.21|6.97|8.51|8.05|8.05|8.03|8.03|17.17|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^015114^|^015^|^08^|^CD^|^6214^|^2^|1000000|^1^|^52^|0|0|0|0|500000|0|0|0|500000|0|0|0|0|0|0|0|50|0|0|0|50|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^015114^|^015^|^08^|^WA^|^4718^|^2^|6966000|^1^|^52^|0|0|1960000|0|0|840000|1840000|0|800000|1050000|476000|0|0|0|28.14|0|0|12.06|26.41|0|11.48|15.07|6.83|0|0|0|1|0|0|1|1|0|1|1|1|0|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^WA^|^4719^|^2^|17949000|^1^|^52^|0|0|0|1480810|1480810|1480810|1480810|1480810|1480810|1480810|1480810|6102520|0|0|0|8.25|8.25|8.25|8.25|8.25|8.25|8.25|8.25|34|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^WA^|^4719^|^2^|454920000|^1^|^51^|0|38567000|42052000|34500000|34000000|38499999|38499999|38499999|38499999|38499999|38499999|74801006|0|8.48|9.24|7.58|7.47|8.46|8.46|8.46|8.46|8.46|8.46|16.44|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^WA^|^6990^|^2^|132959000|^1^|^52^|0|35075000|10500000|10771995|10771995|10771995|9999998|9999998|9999998|18771995|4740981|1555045|0|26.38|7.9|8.1|8.1|8.1|7.52|7.52|7.52|14.12|3.57|1.17|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
