^2026^|^01^|^527336^|^015^|^08^|^WA^|^4718^|^BMB^|^03^|^10^|^2^|0|3|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^WA^|^4719^|^EBA^|^03^|^10^|^2^|0|14|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^WA^|^4719^|^EBC^|^03^|^10^|^2^|0|16|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6212^|^BMB^|^03^|^09^|^2^|0|1|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6212^|^FAC^|^03^|^09^|^2^|0|30|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6212^|^FAH^|^03^|^09^|^2^|0|4|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6212^|^FAL^|^03^|^09^|^2^|0|9|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6213^|^FAC^|^03^|^09^|^2^|0|9|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6213^|^FAL^|^03^|^09^|^2^|0|1|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6214^|^FAL^|^03^|^09^|^2^|0|1344|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6215^|^FAH^|^03^|^09^|^2^|0|4|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^09^|^2^|0|36|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBB^|^03^|^09^|^2^|0|160|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBD^|^03^|^09^|^2^|0|2|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4718^|^BMB^|^03^|^09^|^2^|0|3|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4719^|^EBA^|^03^|^09^|^2^|0|14|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4719^|^EBC^|^03^|^09^|^2^|0|22|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6212^|^BMB^|^03^|^55^|^2^|0|1|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6212^|^FAC^|^03^|^55^|^2^|0|44|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6212^|^FAH^|^03^|^55^|^2^|0|4|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6212^|^FAL^|^03^|^55^|^2^|0|9|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6213^|^FAC^|^03^|^55^|^2^|0|9|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6213^|^FAE^|^03^|^55^|^2^|0|2|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6213^|^FAL^|^03^|^55^|^2^|0|1|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6214^|^FAL^|^03^|^55^|^2^|0|1944|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6215^|^FAH^|^03^|^55^|^2^|0|4|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^55^|^2^|0|36|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4715^|^EBB^|^03^|^55^|^2^|0|10|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4715^|^EBD^|^03^|^55^|^2^|0|2|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4718^|^BMB^|^03^|^55^|^2^|0|3|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4719^|^EBA^|^03^|^55^|^2^|0|14|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4719^|^EBC^|^03^|^55^|^2^|0|31|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^1^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6212^|^BMB^|^03^|^54^|^2^|0|1|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6212^|^FAC^|^03^|^54^|^2^|0|50|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6212^|^FAH^|^03^|^54^|^2^|0|4|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6212^|^FAL^|^03^|^54^|^2^|0|9|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6213^|^FAC^|^03^|^54^|^2^|0|10|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6213^|^FAL^|^03^|^54^|^2^|0|1|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6214^|^FAL^|^03^|^54^|^2^|0|2208|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6215^|^FAH^|^03^|^54^|^2^|0|4|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^54^|^2^|0|36|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^WA^|^4715^|^EBD^|^03^|^54^|^2^|0|2|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527357^|^015^|^08^|^WA^|^4718^|^BMB^|^03^|^54^|^2^|0|3|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
